"","I","L","SNR","ci_width","samp","t.rho","seeds","samp.1"
"121",200,100,0.1,0.644598563421832,0.276316243040118,0,839020,0.276316243040118
"122",100,100,0.1,0.65139518374133,0.360595724524584,0.5,450628,0.360595724524584
"123",200,50,0.1,0.721783024446677,0.277116123804215,0,115842,0.277116123804215
"124",200,100,0.1,0.572611659543869,0.266440683805748,0.5,915496,0.266440683805748
"125",100,100,0.2,0.492094175400233,0.39131460980526,0,796724,0.39131460980526
"126",200,100,0.2,0.343361577322702,0.276573176691312,0,350453,0.276573176691312
"127",100,100,0.2,0.442942327323694,0.364893757631164,0.5,109356,0.364893757631164
"128",200,100,0.2,0.273511985583449,0.230019888593858,0.5,535529,0.230019888593858
"129",100,100,0.1,0.810016820712956,0.376249144427562,0,823278,0.376249144427562
"130",200,100,0.1,0.564164760260311,0.277227790939536,0,220255,0.277227790939536
"131",100,100,0.1,1.34519227857822,0.391811993372535,0.5,76556,0.391811993372535
"132",200,100,0.1,0.426046287652468,0.241964745960425,0.5,44529,0.241964745960425
"133",100,100,0.2,0.490286348416055,0.391881849276178,0,698867,0.391881849276178
"134",100,50,0.1,0.640260481277435,0.348049864942136,0.5,681215,0.348049864942136
"135",200,100,0.2,0.343217209512772,0.277481015776682,0,542162,0.277481015776682
"136",100,100,0.2,0.380070958271726,0.323765252099776,0.5,92057,0.323765252099776
"137",200,100,0.2,0.261578310233435,0.224842227117261,0.5,380739,0.224842227117261
"138",100,100,0.1,0.678547783034499,0.392811400222177,0,395197,0.392811400222177
"139",200,100,0.1,0.565129118909843,0.276179833808724,0,209784,0.276179833808724
"140",100,100,0.1,0.70238550367157,0.387275272547357,0.5,576308,0.387275272547357
"141",200,100,0.1,0.470003758210742,0.250777480283508,0.5,652736,0.250777480283508
"142",100,100,0.2,0.490377358758042,0.392677034228683,0,192856,0.392677034228683
"143",200,100,0.2,0.340950964087597,0.27711292582749,0,665941,0.27711292582749
"144",100,100,0.2,0.39476706222038,0.332995888003513,0.5,185513,0.332995888003513
